artist,artist_id,followers,genres,popularity,type
Reik,3L7L7o7SKkWI8wsU43ycRl,314.0,,11.0,artist
French Montana,6vXTefBL93Dj5IqAWq6OTv,5849704.0,,74.0,artist
Lil Tjay,6jGMq4yGs7aQzuGsMgVgZR,10220341.0,"brooklyn drill, melodic rap",75.0,artist
blackbear,2cFrymmkijnjDg9SS92EPM,5068912.0,,71.0,artist
Eladio Carrion,5XJDexmWFLWOkjOEjOVX3e,9179900.0,"trap latino, urbano latino, trap",79.0,artist
Alicia Keys,3DiDSECUqqY1AuBP8qtaIa,12926250.0,"r&b, neo soul",79.0,artist
Rick Ross,1sBkRIssrMs1AbVkOJbc7a,7738126.0,southern hip hop,76.0,artist
Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,11024652.0,"rockabilly, rock and roll",77.0,artist
Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,10200794.0,"melodic rap, rap",79.0,artist
Skrillex,5he5w2lnU9x7JFhnwcekXX,7527918.0,"dubstep, edm, electro, electronic",74.0,artist
Bryant Myers,6w9ToX5slZ4uIdmD17hJ3c,13664860.0,"trap latino, reggaeton, trap, urbano latino",81.0,artist
Kesha,6LqNN22kT3074XbTVUrhzX,9179726.0,,79.0,artist
Zedd,3ixAOQaJlw7QDkJNI8A9XT,95.0,,1.0,artist
Little Mix,3e7awlrlDSwF3iM0WBjGMp,12326210.0,,72.0,artist
DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,12363739.0,,73.0,artist
Lorde,163tK9Wjr9P9DmM0AVK7lm,10553695.0,,80.0,artist
Grupo Firme,1dKdetem2xEmjgvyymzytS,15615603.0,"banda, corrido, norteño, sierreño, grupera, ranchera, música mexicana",79.0,artist
Melanie Martinez,63yrD80RY3RNEM2YDpUpO8,22231073.0,,75.0,artist
Ãengo Flow,,,,,
Ninho,6Te49r3A6f5BiIgBRxH7FH,12212393.0,"french rap, pop urbaine",79.0,artist
Madonna,6tbjWDEIzxoDsBA1FuhfPW,8813944.0,,79.0,artist
Creedence Clearwater Revival,3IYUhFvPQItj6xySrBmZkd,7964375.0,"classic rock, southern rock, country rock",77.0,artist
Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,8407137.0,"christmas, big band, adult standards, swing music, jazz, vocal jazz",78.0,artist
Noah Kahan,2RQXRUsr4IW1f3mKyKsy4B,4394883.0,,82.0,artist
Labrinth,2feDdbD5araYcm6JhFHHw7,3643729.0,,73.0,artist
Chris Stapleton,4YLtscXsxbVgi031ovDDdh,9052354.0,"country, outlaw country",81.0,artist
Paramore,74XFHRwlV6OrjEM0A2NCMF,9821006.0,"pop punk, emo",79.0,artist
The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,12806315.0,"old school hip hop, gangster rap, east coast hip hop, hip hop",76.0,artist
T-Pain,3aQeKQSyrW4qWr35idm0cy,5842613.0,,79.0,artist
Meek Mill,20sxb77xiYeusSH8cVdatc,8283294.0,rap,73.0,artist
Darell,1TtXnWcUs0FCkaZDPGYHdf,4918447.0,"reggaeton, trap latino, dembow, urbano latino",76.0,artist
Christina Aguilera,1l7ZsJRRS8wlW3WfJfPfNS,9266136.0,,77.0,artist
blink-182,6FBDaR13swtiWwGhX1WQsP,9306389.0,"pop punk, punk, rock, skate punk, emo",76.0,artist
Rammstein,6wWVKhxIU2cEi0K81v7HvP,11842757.0,"industrial metal, metal, industrial rock, industrial",78.0,artist
Slipknot,05fG473iIaoy82BF1aGhL8,14133656.0,"nu metal, metal, alternative metal, rap metal, heavy metal",79.0,artist
Clean Bandit,6MDME20pz9RveH9rEXvrOM,5984613.0,,74.0,artist
