artist,followers,genres,popularity,type,rank,daily streams,peak daily,monthly listeners,total_page_views,total_songs_count,songs_with_duration_count
Cypress Hill,2385368.0,"west coast hip hop, old school hip hop, rap rock, hip hop",65.0,artist,"2,327.7",0.738,"2,249.1","1,793.6",1088994.0,7.0,7.0
Coez,2291758.0,indie,66.0,artist,"2,324.8",0.942,"1,589.5","1,342.9",84419.0,2.0,2.0
Anuv Jain,8313186.0,"indian indie, hindi indie, hindi pop",74.0,artist,"2,323.5",3.086,"2,323.5","2,161.1",177576.0,2.0,2.0
Pooh Shiesty,2143859.0,nan,68.0,artist,"2,323.1",1.163,"1,456.2",431.5,290538.0,4.0,4.0
Don McLean,1154639.0,nan,63.0,artist,"1,355.4",0.566,"1,355.4","1,353.2",19072846.0,17.0,17.0
Estelle,388686.0,nan,65.0,artist,"1,867.6",0.777,"1,101.3",68.1,7222858.0,4.0,4.0
Stone Temple Pilots,4002597.0,"grunge, alternative rock, post-grunge, rock",69.0,artist,"2,312.5",1.131,"2,312.5","2,312.5",581262.0,2.0,2.0
Karan Aujla,22702507.0,"punjabi pop, punjabi hip hop, bhangra, desi hip hop, desi",81.0,artist,"5,986.5",8.488,"4,859.3","1,297.9",33954.0,1.0,1.0
Matchbox Twenty,2692575.0,post-grunge,67.0,artist,"2,308.3",0.934,"2,308.3","2,307.1",1525915.0,5.0,5.0
Dustin Lynch,2553456.0,"country, acoustic country",64.0,artist,"2,307.1",0.577,"2,192.1","1,740.8",98157.0,4.0,4.0
Yxng Bane,435449.0,"afroswing, grime, uk grime, uk r&b",53.0,artist,"2,303.2",0.374,343.8,199.9,232909.0,3.0,3.0
Elliott Smith,1352878.0,singer-songwriter,65.0,artist,"1,390.8",0.77,"1,383.6","1,382.6",1406642.0,10.0,10.0
James TW,1368487.0,nan,58.0,artist,"2,216.3",0.261,"2,174.0","2,171.9",613965.0,10.0,10.0
James Taylor,2874718.0,"folk rock, singer-songwriter, soft rock",65.0,artist,"2,301.8",0.701,"2,125.2","2,072.2",521339.0,6.0,6.0
Kendo Kaponi,1274601.0,"trap latino, reggaeton",66.0,artist,"1,570.0",0.887,276.8,103.1,71259.0,3.0,3.0
Neil Diamond,3249347.0,nan,66.0,artist,"2,298.4",0.891,"2,295.9","2,248.8",59142.0,3.0,3.0
Boyz II Men,3622123.0,"new jack swing, r&b, quiet storm",68.0,artist,"2,298.0",1.118,"1,822.3","1,754.2",546549.0,3.0,3.0
Jonita Gandhi,1917328.0,"bollywood, tamil pop, kollywood, hindi pop, desi, tamil dance",71.0,artist,"2,297.4",1.42,50.5,6.7,5459.0,1.0,1.0
Kidd Keo,3001729.0,"trap, argentine trap",67.0,artist,"2,296.5",0.989,"1,891.9","1,267.4",264627.0,2.0,2.0
Etta James,2003573.0,"soul, jazz blues, soul blues, blues, vocal jazz",68.0,artist,"2,296.5",1.128,"2,289.0","2,263.7",872947.0,7.0,7.0
Olivia Dean,1653870.0,pop soul,89.0,artist,"2,294.7",20.219,"2,188.8","2,092.1",731155.0,12.0,12.0
Ati242,3509852.0,turkish hip hop,74.0,artist,"2,294.6",3.009,"1,943.2","1,742.1",575222.0,5.0,5.0
Pinguini Tattici Nucleari,2328912.0,nan,67.0,artist,"2,293.0",0.995,"2,048.1","2,009.9",417313.0,8.0,8.0
Gregory Alan Isakov,1154680.0,"indie folk, folk, folk pop",71.0,artist,"2,291.1",1.601,"2,207.3","2,207.3",263451.0,6.0,6.0
FINNEAS,2361673.0,nan,70.0,artist,"2,290.6",1.298,"1,700.3","1,697.9",1088216.0,6.0,6.0
Martin Jensen,1260428.0,nan,57.0,artist,"2,288.9",0.199,"1,605.0",999.6,190054.0,8.0,8.0
Ricky Montgomery,2408107.0,nan,68.0,artist,"2,287.8",1.198,"2,199.1","2,096.2",911808.0,6.0,6.0
Conor Maynard,2115417.0,nan,61.0,artist,"2,286.8",0.333,922.4,816.3,173627.0,2.0,2.0
Steely Dan,2530316.0,"yacht rock, classic rock",68.0,artist,"2,285.9",0.996,"2,283.4","2,282.2",1542574.0,11.0,11.0
Los Fabulosos Cadillacs,3391736.0,"rock en español, latin rock, ska, argentine rock, latin alternative, mexican ska, murga",66.0,artist,"2,285.8",0.88,"2,281.3","2,281.3",48406.0,8.0,8.0
Gabriela Rocha,8916133.0,"gospel, worship, brazilian gospel, devotional",69.0,artist,"2,276.2",1.306,"1,691.2","1,506.5",0.0,2.0,2.0
Forrest Frank,2313284.0,"christian, christian pop, christian hip hop, worship, gospel r&b",78.0,artist,"1,861.8",3.28,"1,679.6",851.2,321827.0,6.0,6.0
Connor Price,1749234.0,nan,71.0,artist,"2,273.0",1.497,"1,764.3",513.1,85120.0,2.0,2.0
Mario,4005680.0,r&b,69.0,artist,"2,272.4",1.195,"2,189.0","2,081.5",2491720.0,2.0,2.0
Franz Ferdinand,2997907.0,indie rock,68.0,artist,"2,272.1",0.95,"2,272.1","2,258.6",2568070.0,13.0,13.0
Billy Currington,2762084.0,"country, acoustic country",65.0,artist,"2,269.4",0.702,"2,207.2","2,198.5",267272.0,5.0,5.0
King Gnu,4088821.0,"j-pop, anime, j-rock",69.0,artist,"2,261.8",1.212,"2,261.8","2,261.8",44980.0,1.0,1.0
Bad Omens,2006622.0,metalcore,75.0,artist,"2,261.5",2.751,"2,191.4","2,053.5",754212.0,8.0,8.0
Cordae,2110604.0,nan,63.0,artist,"2,255.5",0.5,"1,546.6",790.4,115511.0,1.0,1.0
Tom Walker,1347306.0,nan,62.0,artist,"2,254.0",0.444,"1,991.6","1,819.4",2254538.0,12.0,12.0
Bonnie Tyler,2422661.0,nan,69.0,artist,"2,252.3",1.025,"2,172.0","2,151.7",46079300.0,15.0,15.0
Maggie Rogers,1276730.0,nan,66.0,artist,"2,252.1",0.779,"1,828.1","1,790.5",1301232.0,10.0,10.0
Kenny Loggins,1263665.0,yacht rock,65.0,artist,"2,249.0",0.656,"2,199.8","2,084.5",1332143.0,9.0,9.0
Takeoff,2316395.0,nan,64.0,artist,"2,248.2",0.634,689.0,668.6,717109.0,4.0,4.0
Sage The Gemini,922312.0,hyphy,62.0,artist,"2,247.7",0.472,"1,118.9",565.0,1626414.0,6.0,6.0
BABYMETAL,2740373.0,j-rock,68.0,artist,"1,458.8",0.99,"1,087.8",823.2,339226.0,4.0,4.0
Ratatat,607119.0,nan,64.0,artist,"2,246.6",0.704,473.7,472.1,23786.0,2.0,2.0
Koba LaD,4132021.0,"french rap, pop urbaine",65.0,artist,"2,243.3",0.698,"1,584.3",742.1,941783.0,11.0,11.0
Erykah Badu,3246182.0,"neo soul, r&b",68.0,artist,"2,242.4",1.01,"1,738.3","1,622.7",1184487.0,4.0,4.0
CHVRCHES,1406753.0,synthpop,60.0,artist,"2,241.6",0.377,"1,438.4","1,289.7",1207469.0,13.0,13.0
Young the Giant,1705806.0,nan,65.0,artist,"2,241.3",0.697,"2,241.3","2,232.8",1068118.0,14.0,14.0
